,DD11,DD11T,DD12,DD12T,DD22,DD22T,DD21,DD21T,MEAN
LSTM,0.002,0.011,0.01,0.011,0.01,0.014,0.207,0.274,0.067
BERT,0.602,0.555,0.526,0.56,0.478,0.566,0.529,0.575,0.549
XGB,0.597,0.594,0.575,0.629,0.539,0.651,0.552,0.567,0.588
CNN,0.263,0.254,0.257,0.195,0.264,0.281,0.281,0.319,0.264
LR,0.422,0.451,0.41,0.444,0.36,0.432,0.424,0.467,0.426
KNN,0.437,0.461,0.433,0.451,0.379,0.465,0.427,0.491,0.443
RF,0.657,0.641,0.621,0.609,0.57,0.661,0.62,0.683,0.633
NB,0.243,0.264,0.181,0.214,0.163,0.229,0.228,0.277,0.225
MLP,0.247,0.269,0.274,0.209,0.283,0.27,0.338,0.327,0.277
SVM,0.022,0.024,0.022,0.024,0.021,0.026,0.018,0.025,0.023
DT,0.515,0.495,0.494,0.478,0.445,0.538,0.482,0.535,0.498
