,DD11,DD11T,DD12,DD12T,DD22,DD22T,DD21,DD21T,MEAN
LSTM,0.229,0.245,0.324,0.298,0.407,0.262,0.429,0.398,0.324
BERT,0.692,0.626,0.686,0.7,0.692,0.756,0.672,0.745,0.696
XGB,0.739,0.7,0.707,0.699,0.681,0.723,0.705,0.713,0.708
CNN,0.343,0.2,0.361,0.243,0.409,0.424,0.353,0.313,0.331
LR,0.551,0.605,0.54,0.618,0.589,0.613,0.582,0.601,0.587
KNN,0.643,0.64,0.642,0.678,0.586,0.651,0.597,0.652,0.636
RF,0.722,0.697,0.717,0.687,0.709,0.716,0.745,0.71,0.713
NB,0.218,0.26,0.23,0.309,0.252,0.292,0.25,0.238,0.256
MLP,0.342,0.225,0.344,0.246,0.42,0.429,0.381,0.336,0.34
SVM,0.545,0.556,0.528,0.545,0.505,0.611,0.534,0.613,0.555
DT,0.659,0.632,0.677,0.617,0.646,0.652,0.639,0.644,0.646
