,DD11,DD11T,DD12,DD12T,DD22,DD22T,DD21,DD21T,MEAN
LSTM,1801.404,2054.252,2447.654,2305.986,2060.489,2242.723,1889.51,2355.973,2144.749
BERT,21834.58,24495.34,9271.57,30200.27,13490.28,30075.08,13612.29,29246.45,21528.233
XGB,563.23,543.402,532.639,547.046,293.584,539.874,490.729,547.585,507.261
CNN,179.253,181.086,161.017,176.205,168.373,206.441,193.31,192.347,182.254
LR,1203.967,916.509,1193.82,1009.64,1117.962,1062.853,1237.466,829.294,1071.439
KNN,1.035,1.164,1.051,1.162,1.165,1.227,1.014,1.161,1.122
RF,31.87,31.85,32.644,30.647,25.616,31.036,25.67,31.427,30.095
NB,0.116,0.134,0.125,0.128,0.121,0.163,0.108,0.126,0.128
MLP,121.106,132.559,98.419,104.412,98.031,104.467,97.179,104.657,107.604
SVM,447.257,686.835,444.279,772.202,176.042,803.691,178.242,654.222,520.346
DT,0.53,0.453,0.477,0.498,0.419,0.498,0.405,0.474,0.469
