Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T,Al-Time
results/other/2_1,0,1,DT,0.5784282018111255,0.5674210289566113,0.5797351280143372,0.5674210289566113,0.5618950378718941,0.5557379352757799,0,1.8058488368988037,0.015114068984985352,0
results/other/2_1,1,2,DT,0.5992345838723587,0.5847210497600649,0.5878403464179245,0.5847210497600649,0.5745223403024076,0.5777758912147605,0,2.54862642288208,0.0,0
results/other/2_1,2,3,DT,0.6171841310909875,0.6000002743261724,0.6048218831887481,0.6000002743261724,0.5876006098676195,0.5966625448520402,0,2.2790253162384033,0.015717744827270508,0
results/other/2_1,3,4,DT,0.613734368262182,0.5980568944232171,0.6101673507322858,0.5980568944232171,0.5876452041842081,0.5929920634304203,0,1.844655990600586,0.0061397552490234375,0
results/other/2_1,4,5,DT,0.6202565761103924,0.605222263201115,0.6122730828790113,0.605222263201115,0.5898956333809966,0.5998535444851341,0,1.7758939266204834,0.01061248779296875,0
results/other/2_1,5,6,DT,0.6096377749029754,0.5939329157307013,0.597492350371753,0.5939329157307013,0.580643598567683,0.5887226856547495,0,1.8837745189666748,0.015576362609863281,0
results/other/2_1,6,7,DT,0.6011211729193618,0.5870646149184907,0.6080223749524153,0.5870646149184907,0.5813012717681262,0.5796877361743669,0,1.8460588455200195,0.015713930130004883,0
results/other/2_1,7,8,DT,0.564359637774903,0.5550312417894825,0.5687512918492429,0.5550312417894825,0.5460297149867582,0.5409799720066147,0,1.8572165966033936,0.016746997833251953,0
results/other/2_1,8,9,DT,0.5817162570073308,0.5696242193620671,0.5842407121706236,0.5696242193620671,0.5590983022591896,0.5592226663546398,0,1.807199478149414,0.015630722045898438,0
results/other/2_1,9,10,DT,0.6009594652867616,0.5870861872666847,0.6038254018896766,0.5870861872666847,0.5770873006284158,0.5795819480728492,0,1.8046224117279053,0.015723466873168945,0
results/other/2_1,10,11,DT,0.5865674859853385,0.5744718936738266,0.5934752247213422,0.5744718936738266,0.5647547011815489,0.5644873740617724,0,1.8647987842559814,0.018611669540405273,0
results/other/2_1,11,12,DT,0.5896938335489436,0.5762474588727486,0.5877092130130112,0.5762474588727486,0.5677116816867461,0.5676939341975334,0,1.8486824035644531,0.015635013580322266,0
results/other/2_1,12,13,DT,0.6092065545493748,0.5955911059076737,0.6063110339831853,0.5955911059076737,0.5819526788503979,0.5882978593086492,0,1.8400943279266357,0.015601158142089844,0
results/other/2_1,13,14,DT,0.5990728762397585,0.5855824800075619,0.586574957044074,0.5855824800075619,0.5703322203053931,0.5775230534737278,0,1.8505549430847168,0.005846738815307617,0
results/other/2_1,14,15,DT,0.584357481673135,0.5697139809863794,0.5845951930638313,0.5697139809863794,0.5619152730425444,0.5620605556262981,0,1.8521029949188232,0.006724357604980469,0
results/other/2_1,15,16,DT,0.6248382923673997,0.6084066306052587,0.611562295094627,0.6084066306052587,0.59443983751177,0.6047551944808777,0,1.9187052249908447,0.0,0
results/other/2_1,16,17,DT,0.5885618801207417,0.5777113801580102,0.5796411531032903,0.5777113801580102,0.5666624707499293,0.5665813246937192,0,1.8307154178619385,0.015614509582519531,0
results/other/2_1,17,18,DT,0.6183160845191893,0.6027425259337809,0.5965720905489923,0.6027425259337809,0.5886062195118461,0.5978625749160029,0,1.8234319686889648,0.01572132110595703,0
results/other/2_1,18,19,DT,0.5795601552393272,0.5658917930393231,0.5677776364858198,0.5658917930393231,0.5506532337191692,0.557021384897216,0,1.9405043125152588,0.0,0
results/other/2_1,19,20,DT,0.5783203967227253,0.5668898532791317,0.5658894067861722,0.5668898532791317,0.5502390390534411,0.5558160161322818,0,1.84682035446167,0.015101194381713867,0
results/other/2_1,20,21,DT,0.5941138421733506,0.581076744725818,0.592961394914556,0.581076744725818,0.5710298753134021,0.5723617191522624,0,1.8582332134246826,0.0,0
results/other/2_1,21,22,DT,0.6158904700301854,0.6006047942171844,0.5941659598196746,0.6006047942171844,0.5848901271200271,0.5953534647151338,0,1.8274073600769043,0.0,0
results/other/2_1,22,23,DT,0.5965933592065545,0.5800123496290319,0.5885375887128866,0.5800123496290319,0.570420773846285,0.574914319129908,0,1.9132540225982666,0.0,0
results/other/2_1,23,24,DT,0.5986416558861578,0.580396373063106,0.5987202328013593,0.580396373063106,0.5668164297783491,0.5769529319768896,0,1.8560137748718262,0.0,0
results/other/2_1,24,25,DT,0.5873221216041398,0.5756593390897414,0.5826776812913397,0.5756593390897414,0.5651684230967338,0.5651521497089768,0,1.8397035598754883,0.0,0
