,DD11,DD11T,DD12,DD12T,DD22,DD22T,DD21,DD21T,MEAN
LSTM,6894.872,6553.938,5378.396,5880.595,5625.347,6618.878,5924.029,6090.359,6120.802
BERT,5045.848,4904.0,3760.0,8072.0,9032.0,7766.0,4995.0,5506.0,6135.106
XGB,182.97,142.762,141.565,144.738,143.829,145.735,137.787,144.272,147.957
CNN,47.428,47.381,47.939,48.508,46.524,51.158,46.22,51.524,48.335
LR,349.513,403.012,326.973,352.371,367.213,347.277,373.217,405.114,365.586
KNN,1.78,1.044,0.965,0.992,0.925,0.982,0.987,0.98,1.082
RF,11.99,8.465,8.085,9.184,7.536,9.747,7.038,8.509,8.819
NB,0.09,0.064,0.065,0.065,0.063,0.076,0.062,0.071,0.07
MLP,34.204,27.462,27.529,28.168,27.06,27.93,26.788,27.715,28.357
SVM,2022.571,1782.399,2014.59,2130.266,1668.772,2032.76,1666.578,1788.676,1888.326
DT,0.893,0.49,0.485,0.537,0.44,0.527,0.442,0.53,0.543
