Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T,Al-Time
results/other/1_5,0,1,DT,0.6093136663853275,0.5770931257982111,0.6351699010184839,0.5770931257982111,0.5762742428440512,0.5871674257474896,0,0.6227259635925293,0.021935462951660156,0
results/other/1_5,1,2,DT,0.6050935787682703,0.5838895026427922,0.6730709090823639,0.5838895026427922,0.589874408086877,0.5825757552090431,0,0.6594488620758057,0.020427465438842773,0
results/other/1_5,2,3,DT,0.6033519553072626,0.5839220417402337,0.6693945160778279,0.5839220417402337,0.5896734912831741,0.5807749481099246,0,0.6665294170379639,0.02046513557434082,0
results/other/1_5,3,4,DT,0.5997079431426926,0.5812350503182431,0.6694727731324907,0.5812350503182431,0.5875403894079663,0.5769266010856727,0,0.6661608219146729,0.020885229110717773,0
results/other/1_5,4,5,DT,0.6037270742065566,0.57110945056285,0.6273698741714823,0.57110945056285,0.5705230528253852,0.5812296652430324,0,0.6493794918060303,0.021238088607788086,0
results/other/1_5,5,6,DT,0.6050935787682703,0.5734773305799389,0.6303198641959818,0.5734773305799389,0.5717550087078206,0.5827353754487193,0,0.6566557884216309,0.020832061767578125,0
results/other/1_5,6,7,DT,0.5936256581327117,0.5668985395920375,0.6292754840293446,0.5668985395920375,0.5664786715455732,0.5706493715404983,0,0.6518378257751465,0.020534992218017578,0
results/other/1_5,7,8,DT,0.6009672708760366,0.5860013247885644,0.6746986734034612,0.5860013247885644,0.590457516361646,0.578333677630797,0,0.6626420021057129,0.019733905792236328,0
results/other/1_5,8,9,DT,0.5984352183058023,0.5723306092032384,0.6307787258398683,0.5723306092032384,0.569600932828451,0.5757567904604464,0,0.6405653953552246,0.020890235900878906,0
results/other/1_5,9,10,DT,0.5923395361922752,0.5643169227143616,0.6263611468724475,0.5643169227143616,0.5645200717290771,0.5692118820418406,0,0.6542587280273438,0.020144224166870117,0
results/other/1_5,10,11,DT,0.5853998365553368,0.5751225507802572,0.665089521107206,0.5751225507802572,0.5797615888887099,0.561893100379637,0,0.6369400024414062,0.02203655242919922,0
results/other/1_5,11,12,DT,0.6066610398831772,0.5866480512542405,0.6757411649669985,0.5866480512542405,0.592716515036958,0.5842573225743317,0,0.518322229385376,0.017461299896240234,0
results/other/1_5,12,13,DT,0.6094476374207897,0.5792864287189227,0.6318046682018896,0.5792864287189227,0.5747164855203916,0.5873914202557902,0,0.6504025459289551,0.020802974700927734,0
results/other/1_5,13,14,DT,0.5983950269951637,0.5818909203234476,0.6757240240450157,0.5818909203234476,0.5893679525377864,0.5755334540448237,0,0.6459777355194092,0.020761728286743164,0
results/other/1_5,14,15,DT,0.6127299277896119,0.5958977549344916,0.6767128822538508,0.5958977549344916,0.5979385108701759,0.5907688550217121,0,0.6461288928985596,0.0207979679107666,0
results/other/1_5,15,16,DT,0.60067253459802,0.5727635790785615,0.6298422548435421,0.5727635790785615,0.5706339633869927,0.5780739845716725,0,0.6632246971130371,0.02012920379638672,0
results/other/1_5,16,17,DT,0.5945500582774004,0.566986092845836,0.6287065871869064,0.566986092845836,0.5666980742504035,0.5715839304564689,0,0.6586833000183105,0.023218154907226562,0
results/other/1_5,17,18,DT,0.6003777983200033,0.5825043406673465,0.6720087482944003,0.5825043406673465,0.5887105556583153,0.5776488227635961,0,0.6632657051086426,0.020831584930419922,0
results/other/1_5,18,19,DT,0.6044773120051445,0.5726552532485842,0.6290017673206197,0.5726552532485842,0.5727029975712772,0.5820328860852415,0,0.6525046825408936,0.021933555603027344,0
results/other/1_5,19,20,DT,0.6034993234462709,0.5752064745615628,0.6375391982207039,0.5752064745615628,0.5742414740526733,0.5811116738398252,0,0.6495695114135742,0.02096080780029297,0
results/other/1_5,20,21,DT,0.6072505124392107,0.5750158406914997,0.6342492151515886,0.5750158406914997,0.5743623174240814,0.5849824644858105,0,0.6681454181671143,0.02183365821838379,0
results/other/1_5,21,22,DT,0.6039548249668422,0.5726848455369389,0.6292617566129936,0.5726848455369389,0.5721152609553571,0.5815320583338316,0,0.6594207286834717,0.02086162567138672,0
results/other/1_5,22,23,DT,0.6015165521214313,0.5860618387766701,0.6733004545013455,0.5860618387766701,0.5900426486044824,0.5789125426817497,0,0.6582944393157959,0.021203994750976562,0
results/other/1_5,23,24,DT,0.597162493468912,0.5810032692541389,0.6698600028357611,0.5810032692541389,0.5871759085504352,0.5742784183351763,0,0.6334080696105957,0.018402099609375,0
results/other/1_5,24,25,DT,0.6063261122945219,0.5722319997211847,0.6283274021255135,0.5722319997211847,0.5720058813519762,0.5839882428825125,0,0.6645469665527344,0.019765615463256836,0
