,DD11,DD11T,DD12,DD12T,DD22,DD22T,DD21,DD21T,MEAN
LSTM,0.047,0.019,0.056,0.019,0.044,0.045,0.098,0.135,0.058
XGB,0.645,0.614,0.649,0.664,0.585,0.756,0.591,0.737,0.655
CNN,0.069,0.074,0.093,0.062,0.114,0.128,0.051,0.156,0.093
LR,0.443,0.412,0.444,0.431,0.412,0.504,0.393,0.488,0.441
KNN,0.425,0.386,0.404,0.381,0.398,0.472,0.405,0.471,0.418
RF,0.681,0.634,0.657,0.656,0.65,0.771,0.661,0.745,0.682
NB,0.106,0.117,0.108,0.091,0.095,0.125,0.092,0.153,0.111
MLP,0.061,0.084,0.092,0.073,0.089,0.157,0.055,0.162,0.097
SVM,0.043,0.05,0.038,0.042,0.037,0.046,0.04,0.053,0.044
DT,0.458,0.434,0.451,0.472,0.402,0.55,0.417,0.532,0.464
