,DD11,DD11T,DD12,DD12T,DD22,DD22T,DD21,DD21T,MEAN
LSTM,715.78,788.096,892.733,891.657,547.935,605.138,550.916,573.778,695.754
XGB,212.39,214.384,192.604,202.914,156.906,193.106,152.106,194.353,189.845
CNN,21.431,22.144,22.114,20.942,19.658,22.663,19.888,21.016,21.232
LR,2813.152,1649.417,2413.062,1975.472,2137.049,1579.793,2420.758,1562.229,2068.866
KNN,0.63,0.589,0.585,0.561,0.559,0.529,0.399,0.576,0.554
RF,37.355,35.078,32.494,35.014,24.76,31.394,25.275,32.779,31.769
NB,0.049,0.046,0.033,0.036,0.036,0.038,0.033,0.037,0.038
MLP,10.81,10.687,10.712,10.905,10.074,9.774,9.293,10.501,10.344
SVM,230.314,205.486,198.777,203.513,146.5,201.341,172.516,196.24,194.336
DT,5.956,5.692,5.133,5.073,3.805,5.128,3.101,5.052,4.868
