var_smoothing,F1,Std,Time,No,Attack
1.873817422860383e-08,0.46008092515119403,0.0,3.84,0,HPO
1.519911082952933e-08,0.45917981789360274,0.0,3.811,1,HPO
1.2328467394420635e-09,0.4513280417256227,0.0,3.679,2,HPO
3.5111917342151277e-08,0.462366278965451,0.0,3.847,3,HPO
5.336699231206302e-09,0.45866547099670507,0.0,3.728,4,HPO
1.873817422860383e-08,0.46008092515119403,0.0,3.927,5,HPO
1.519911082952933e-06,0.47226339793054395,0.0,3.84,6,HPO
1e-06,0.4686083187896678,0.0,3.851,7,HPO
1.519911082952933e-06,0.47226339793054395,0.0,3.907,8,HPO
3.5111917342151277e-08,0.462366278965451,0.0,3.924,9,HPO
