,DD11,DD11T,DD12,DD12T,DD22,DD22T,DD21,DD21T,MEAN
VOTE-2,0.516,0.496,0.488,0.566,0.467,0.62,0.477,0.547,0.522
VOTE-3,0.48,0.543,0.442,0.57,0.464,0.631,0.476,0.583,0.524
VOTE-4,0.526,0.549,0.483,0.479,0.453,0.524,0.45,0.572,0.505
VOTE-5,0.503,0.457,0.476,0.445,0.408,0.469,0.428,0.48,0.458
VOTE-6,0.395,0.466,0.397,0.507,0.405,0.507,0.429,0.477,0.448
VOTE-7,0.172,0.128,0.124,0.108,0.109,0.114,0.145,0.127,0.128
OF-1,0.497,0.482,0.478,0.509,0.42,0.53,0.468,0.526,0.489
OF-2,0.498,0.539,0.497,0.443,0.374,0.466,0.393,0.561,0.471
OF-3,0.516,0.476,0.507,0.525,0.431,0.553,0.468,0.527,0.5
OF-4,0.533,0.553,0.495,0.547,0.439,0.592,0.466,0.598,0.528
OF-5,0.547,0.512,0.472,0.496,0.471,0.538,0.485,0.539,0.508
OF-6,0.513,0.549,0.456,0.462,0.443,0.521,0.475,0.595,0.502
OF-7,0.438,0.496,0.427,0.375,0.489,0.437,0.508,0.5,0.459
OF-8,0.523,0.492,0.538,0.546,0.442,0.592,0.471,0.535,0.517
IoTDevID,0.692,0.624,0.704,0.624,0.592,0.656,0.584,0.655,0.641
