criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
entropy,20,38,3,0.8788409353505701,0.018848051950769513,268.849,0,HPO
entropy,31,29,8,0.8746170312344095,0.012191590724606233,411.456,1,HPO
gini,31,58,3,0.8697473027333027,0.0045559284687397015,290.359,2,HPO
entropy,20,43,8,0.8766607005001574,0.022231130818476774,354.647,3,HPO
gini,28,26,8,0.875352523362815,0.021800854222986492,78.791,4,HPO
gini,30,60,9,0.8642991884582866,0.007071877276852473,119.098,5,HPO
entropy,27,61,3,0.8856119031797691,0.016368445754190955,286.934,6,HPO
entropy,30,59,2,0.888861516934466,0.015313983512120004,265.013,7,HPO
entropy,23,27,2,0.8778498271318116,0.007481613366425027,148.623,8,HPO
entropy,13,26,6,0.8767176481009413,0.02162732905139457,126.107,9,HPO
entropy,18,25,9,0.8743796683425256,0.018539841476017227,154.973,10,HPO
gini,25,24,5,0.8669897070469661,0.00830120212933294,68.723,11,HPO
entropy,20,29,7,0.8814764347082011,0.017009771152561425,168.862,12,HPO
entropy,21,51,3,0.8771581258196669,0.013917538971241858,214.191,13,HPO
gini,32,52,9,0.8639473748017579,0.007770782716724642,102.367,14,HPO
entropy,25,51,6,0.8816194129741681,0.020440743744379607,243.78,15,HPO
gini,14,52,6,0.867786835688419,0.005079078667946817,103.362,16,HPO
entropy,25,31,3,0.882715974280293,0.01914574938744941,180.14,17,HPO
entropy,28,8,2,0.8620097295584077,0.021449045171931545,56.954,18,HPO
entropy,16,33,5,0.8928345018210024,0.0213679413248031,194.999,19,HPO
gini,14,24,8,0.8681474089730422,0.019629190516445346,36.488,20,HPO
entropy,18,59,5,0.8771999930914609,0.014193657121708843,205.822,21,HPO
entropy,10,62,9,0.8668767282781363,0.014814783390467049,197.509,22,HPO
gini,11,29,7,0.841698875403638,0.03160790038299145,61.846,23,HPO
entropy,22,10,2,0.863126431430201,0.009839613365276135,69.396,24,HPO
gini,23,20,3,0.8777723316983795,0.012399388095982974,59.867,25,HPO
entropy,23,55,2,0.88316839829561,0.016073804389543898,262.376,26,HPO
gini,15,24,5,0.8680296134623475,0.017564424376664174,74.43,27,HPO
gini,26,32,6,0.869593071695426,0.009387840381532567,89.935,28,HPO
gini,28,34,5,0.8734807765516169,0.01717460847103651,132.58,29,HPO
entropy,28,61,8,0.8740228741882051,0.014725324482016182,344.794,30,HPO
entropy,21,50,7,0.8832839790926588,0.014745896422057569,265.238,31,HPO
entropy,30,30,7,0.8754312701824668,0.016565565403273978,202.609,32,HPO
entropy,16,48,6,0.8753747521637143,0.01725209769995698,110.86,33,HPO
entropy,27,22,7,0.8744735961497201,0.006894182840537928,27.88,34,HPO
entropy,8,36,2,0.8395812277091487,0.02287078196128064,34.165,35,HPO
entropy,15,40,2,0.8830012561977914,0.01025290304341758,35.546,36,HPO
entropy,10,54,8,0.8870036067891951,0.01118037643090463,44.801,37,HPO
entropy,23,51,5,0.8755299295862166,0.01465537956593023,46.828,38,HPO
entropy,28,42,3,0.8862576211443824,0.016317783107665688,43.302,39,HPO
gini,11,31,7,0.8589239186363677,0.019003125030654513,17.05,40,HPO
gini,22,35,9,0.8759114344903282,0.01853453648587589,21.096,41,HPO
entropy,26,61,4,0.8773642848949823,0.01758250166375942,52.313,42,HPO
entropy,14,62,2,0.8738959273527035,0.012719479935439364,58.057,43,HPO
entropy,21,27,7,0.8839524605599285,0.017814520007185145,28.72,44,HPO
entropy,24,49,5,0.8914221597219953,0.01848238620371337,42.631,45,HPO
entropy,24,54,6,0.8730571863567882,0.020432994482679708,49.693,46,HPO
entropy,26,31,4,0.8829929676700591,0.0185502980295021,30.973,47,HPO
gini,21,50,4,0.8766586838743411,0.016606002117036153,21.191,48,HPO
entropy,23,28,3,0.8794914837164887,0.01782782433576609,31.341,49,HPO
