,DD11,DD11T,DD12,DD12T,DD22,DD22T,DD21,DD21T,MEAN
VOTE-2,0.493,0.448,0.489,0.481,0.496,0.558,0.499,0.538,0.5
VOTE-3,0.491,0.431,0.482,0.482,0.491,0.567,0.506,0.523,0.497
VOTE-4,0.489,0.452,0.48,0.496,0.485,0.589,0.501,0.538,0.504
VOTE-5,0.498,0.445,0.481,0.456,0.445,0.537,0.474,0.54,0.484
VOTE-6,0.465,0.44,0.452,0.424,0.392,0.47,0.414,0.508,0.446
VOTE-7,0.335,0.299,0.329,0.303,0.336,0.332,0.342,0.33,0.326
OF-1,0.454,0.484,0.447,0.46,0.496,0.568,0.497,0.576,0.498
OF-2,0.486,0.472,0.478,0.451,0.489,0.526,0.495,0.572,0.496
OF-3,0.406,0.456,0.408,0.473,0.425,0.549,0.425,0.548,0.461
OF-4,0.468,0.446,0.44,0.458,0.412,0.501,0.428,0.525,0.46
OF-5,0.487,0.431,0.48,0.485,0.456,0.565,0.485,0.537,0.491
OF-6,0.496,0.452,0.504,0.474,0.436,0.559,0.424,0.55,0.487
OF-7,0.466,0.445,0.462,0.432,0.421,0.511,0.434,0.534,0.463
OF-8,0.453,0.427,0.463,0.455,0.482,0.537,0.479,0.514,0.476
