,DD11,DD11T,DD12,DD12T,DD22,DD22T,DD21,DD21T
2,0.728,0.616,0.709,0.672,0.64,0.702,0.653,0.643
3,0.73,0.634,0.713,0.661,0.657,0.693,0.661,0.659
4,0.699,0.624,0.657,0.662,0.651,0.757,0.657,0.659
5,0.502,0.565,0.51,0.527,0.437,0.59,0.454,0.579
6,0.399,0.383,0.377,0.375,0.425,0.384,0.373,0.397
0,0.67,0.576,0.605,0.629,0.604,0.659,0.63,0.586
1,0.565,0.621,0.569,0.527,0.545,0.627,0.502,0.662
2,0.675,0.641,0.641,0.649,0.597,0.703,0.637,0.688
3,0.618,0.667,0.607,0.686,0.573,0.744,0.559,0.672
4,0.713,0.601,0.691,0.628,0.648,0.682,0.661,0.628
5,0.688,0.613,0.667,0.664,0.691,0.696,0.73,0.642
6,0.662,0.569,0.664,0.673,0.691,0.684,0.675,0.615
