,DD11,DD11T,DD12,DD12T,DD22,DD22T,DD21,DD21T,MEAN
VOTE-2,0.728,0.616,0.709,0.672,0.64,0.702,0.653,0.643,0.67
VOTE-3,0.73,0.634,0.713,0.661,0.657,0.693,0.661,0.659,0.676
VOTE-4,0.699,0.624,0.657,0.662,0.651,0.757,0.657,0.659,0.671
VOTE-5,0.502,0.565,0.51,0.527,0.437,0.59,0.454,0.579,0.52
VOTE-6,0.399,0.383,0.377,0.375,0.425,0.384,0.373,0.397,0.389
VOTE-7,0.507,0.484,0.513,0.521,0.537,0.541,0.539,0.519,0.52
OF-1,0.67,0.576,0.605,0.629,0.604,0.659,0.63,0.586,0.62
OF-2,0.565,0.621,0.569,0.527,0.545,0.627,0.502,0.662,0.577
OF-3,0.675,0.641,0.641,0.649,0.597,0.703,0.637,0.688,0.654
OF-4,0.618,0.667,0.607,0.686,0.573,0.744,0.559,0.672,0.641
OF-5,0.713,0.601,0.691,0.628,0.648,0.682,0.661,0.628,0.657
OF-6,0.688,0.613,0.667,0.664,0.691,0.696,0.73,0.642,0.674
OF-7,0.662,0.569,0.664,0.673,0.691,0.684,0.675,0.615,0.654
OF-8,0.676,0.607,0.622,0.642,0.596,0.681,0.599,0.647,0.634
IoTDevID,0.692,0.624,0.704,0.624,0.592,0.656,0.584,0.655,0.641
