,Feature,CV-ADS1,CV-ADS2,CV-DIS1,CV-DIS2,SS-AD-S1-2,SS-AD-S2-1,SS-DI-S1-2,SS-DI-S2-1,DD-DD11,DD-DD11T,DD-DD12,DD-DD12T,DD-DD21,DD-DD21T,DD-DD22,DD-DD22T
0,ACK Flag Cnt,0.083411253760144,0.0383344779575444,0.0942298864006773,0.0825007801672133,0.0639198747339564,0.0323365785813629,0.0824980333443297,0.0942275124589788,0.0942275124589788,0.0834038822035435,0.0824980333443297,0.0834038822035435,0.0299732956590681,0.0639198747339564,0.0338391656304717,0.0639198747339564
1,Active Max,0.1994566797862109,0.25281789246164,0.216290865201596,0.147709177541197,0.2230979036519781,0.1726076170137089,0.1229472343971833,0.1660010133576088,0.0895887581097916,0.0756259552574202,0.0575561310681487,0.0642603068824948,0.0836586706571036,0.097288125744292,0.0501530369984872,0.0970833639543712
2,Active Mean,0.1766407106911566,0.22623086309713,0.1997050009878434,0.136515932883751,0.2024983621818993,0.1606952934194998,0.1141197942723327,0.1526229346217655,0.085349621648474,0.0667968752614845,0.0513443377064278,0.0621575164086753,0.0841062157541492,0.094628262360605,0.0490930151148062,0.0932886582091918
3,Active Min,0.2206752589235287,0.2717456848632497,0.2379357350753999,0.1668307084751422,0.2454400702826128,0.1940135351425369,0.1276293675258187,0.1857264380247808,0.0854295629728211,0.058662191476801,0.0568855812983905,0.0513750837496117,0.0938863814421279,0.0885070237043749,0.0521386670625247,0.0873130526184186
4,Active Std,0.080093577642069,0.1011466115823925,0.0997481611837774,0.0649050521430148,0.0662142213017144,0.0719302607029938,0.0584432365472433,0.0860009516674021,0.0270700177893891,0.0411908629762354,0.0278817713103526,0.0397494364315972,0.0554262517716076,0.0541348415487159,0.0343710773043016,0.0555981775820064
5,Bwd Blk Rate Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Bwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Bwd Header Len,0.4402436431962188,0.4999818625012969,0.4494528425347641,0.392673197882421,0.4478865394801107,0.4046695921624184,0.3675481105675499,0.409830738068225,0.1980674106354116,0.2233630491531583,0.1725398384154362,0.2474334882059651,0.2335186475874275,0.2428112650981828,0.1925001490313769,0.2663001017596909
8,Bwd IAT Max,0.3736664272561437,0.4286905277007543,0.4029524610182743,0.3576677186104565,0.372580824368926,0.3250097838905738,0.3139972143808618,0.3287637074899576,0.17493440464994,0.1445040383005305,0.1509241777188364,0.1394993839001208,0.1879412916017635,0.1623430471501432,0.1568668145164514,0.1577545770425038
9,Bwd IAT Mean,0.3716271350779322,0.4190199404659173,0.3904094948752675,0.3536035240051353,0.3596870498209751,0.317759446577332,0.2947622483744604,0.320546571282728,0.135019373289665,0.1359185372948925,0.0968464697336974,0.107957098136569,0.1414094343101842,0.1481503206692115,0.1099610487441273,0.1188965522758872
10,Bwd IAT Min,0.3339842943268696,0.3650361782936081,0.3587523012869024,0.3356847273685133,0.3144426491691231,0.2861257758977665,0.2654939035097792,0.2950953396653893,0.1226190731871255,0.104482104454408,0.0907404948425558,0.0988393806890475,0.1283516516133255,0.1254412923394684,0.1077727520014459,0.1217433361711946
11,Bwd IAT Std,0.2847380039114749,0.3456635906360472,0.2890321598399902,0.2691312738576751,0.3082912245478452,0.262944303214434,0.2452173343805687,0.2530823330895649,0.1216223758426908,0.1335156547385749,0.1108257067186863,0.1229807315658864,0.1268336850083553,0.1543951989669034,0.0982166661914529,0.1417337404570537
12,Bwd IAT Tot,0.3758500645503117,0.4280356739201375,0.3586242227872016,0.3369618887101516,0.3671260864579861,0.3202011629687231,0.2784772107335551,0.2925913311680735,0.1417798748280366,0.124000307907792,0.1037699325791856,0.0985803376996877,0.1562431637731258,0.1452506986588716,0.1274437530939426,0.1171848185591779
13,Bwd Pkt Len Max,0.6065971736428031,0.6690011601013219,0.5959344894224436,0.5379428678798599,0.62963082310614,0.5534072113126804,0.5132771117683015,0.5732927349331649,0.4199809453514797,0.3718360455444757,0.3546923151792057,0.3643096493692034,0.3784198509973476,0.4076995220360919,0.3289671165132367,0.4009425233586555
14,Bwd Pkt Len Mean,0.6612983787722214,0.7091109504947152,0.627153551341012,0.5734275242986889,0.6515424070454202,0.5867614354306563,0.5364007154994149,0.5995054368097741,0.3416452065790194,0.3358238133031398,0.2847811573406716,0.3497671454220673,0.3192697038700073,0.3571067689935728,0.2654336123750787,0.3563121407904669
15,Bwd Pkt Len Min,0.3646289739020261,0.3983660177844479,0.3542018818133792,0.2899887449871333,0.3491347307775919,0.3420373801243022,0.2805658934103311,0.3393312713504928,0.2419166919057763,0.2165702854820785,0.1915826769425574,0.2321081876201697,0.2261975138878544,0.2105436464974761,0.1823219274010868,0.2215749536190951
16,Bwd Pkt Len Std,0.4200367394167781,0.457439488115298,0.4679038327993466,0.4449870660193894,0.4432951843949741,0.3524071825500405,0.4146918218080969,0.45280026569061,0.2413270142173496,0.1723240157674157,0.1981509798135842,0.1795748309730637,0.2232382049743155,0.2001822711984102,0.1761551027130282,0.206860244043141
17,Bwd Pkts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Bwd Pkts/s,0.4928676307984536,0.5575072617129117,0.4589520505719253,0.423017763299753,0.4722440122917595,0.4298661879909563,0.3718045690119136,0.3881632909088655,0.1645051805263312,0.1628794208139157,0.1457831371759357,0.1568840266735018,0.1662091187322855,0.1669359700068873,0.1452444645025467,0.168089731045592
19,Bwd PSH Flags,0.0220513016211221,0.028576387709618,0.0322225821023967,0.0180052450261119,0.0077108319022097,0.0195924290983854,0.0180032840445433,0.0322212387587166,0.0175107655580044,-0.0201966119305139,0.0074413091340946,-0.0201966119305139,-0.0038187256432622,-0.0223395307351144,-0.0086786611515721,-0.0223395307351144
20,Bwd Seg Size Avg,0.6611753639998236,0.7098139552630656,0.6267341651184549,0.5733794943279885,0.6515424070454202,0.5867614354306563,0.5364007154994149,0.5995054368097741,0.3416452065790194,0.3358238133031398,0.2847811573406716,0.3497671454220673,0.3192697038700073,0.3571067689935728,0.2654336123750787,0.3563121407904669
21,Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,CWE Flag Count,0.0007970818976457,0.0025395211924475,0.0005061853042968,0.0009194716107817,0.0021022918966322,0.0008020370490148,0.0009361578580162,0.0005075323398926,0.0005075323398926,0.0008020370490148,0.0009361578580162,0.0008020370490148,0.0005075323398926,0.0021022918966322,0.0009361578580162,0.0021022918966322
23,Down/Up Ratio,0.0971820300929245,0.106138575450256,0.0630163257020258,0.0540775011866443,0.0928027701913446,0.0904882336809684,0.0491672790476218,0.0526847848324453,0.0206375806566695,-0.0161578348715043,0.00725689009463,-0.0253660007427363,0.0375672941888454,-0.0212002584340671,0.0277293422630668,-0.0213785457388009
