bootst,criter,max_depth,max_features,min_samp_split,n_estimators,F1,Std,Time,No,Attack
True,entropy,17,8,3,190,0.9023960635379613,0.0007540909293747089,108.269,0,HPO
False,entropy,19,6,2,134,0.9024354718052754,0.0002568395320470151,93.389,1,HPO
True,gini,32,10,5,76,0.901956449091946,0.000442729006567067,50.039,2,HPO
False,gini,24,6,3,65,0.9019313684929019,0.00022878519059117938,63.485,3,HPO
False,gini,25,10,5,58,0.9021136099575152,0.0003181574513663275,54.071,4,HPO
False,entropy,32,9,6,158,0.9004421911355746,0.0011578640623518108,116.492,5,HPO
True,gini,20,6,2,156,0.9022038844178386,0.0004900804906893562,74.498,6,HPO
False,entropy,32,9,5,136,0.9009893933032126,0.0011673617475855675,108.092,7,HPO
True,entropy,28,6,2,109,0.9021073068452538,0.0006380960201270258,62.422,8,HPO
True,entropy,28,10,9,171,0.9005992268602878,0.0015613083913732257,118.476,9,HPO
