Protocol,Field name,Description,Type,Versions
IPv4,ip.addr,Source or Destination Address,IPv4 address,1.0.0 to 4.2.2
IPv4,ip.bogus_header_length,Bogus IP header length,Label,3.0.0 to 4.2.2
IPv4,ip.bogus_ip_length,Bogus IP length,Label,1.12.0 to 4.2.2
IPv4,ip.bogus_ip_version,Bogus IP version,Label,2.0.0 to 4.2.2
IPv4,ip.checksum,Header Checksum,Unsigned integer (16 bits),1.0.0 to 4.2.2
IPv4,ip.checksum.status,Header checksum status,Unsigned integer (8 bits),2.2.0 to 4.2.2
IPv4,ip.checksum_bad.expert,Bad checksum,Label,1.12.0 to 4.2.2
IPv4,ip.checksum_calculated,Calculated Checksum,Unsigned integer (16 bits),1.12.0 to 4.2.2
IPv4,ip.cipso.categories,Categories,Character string,2.0.0 to 4.2.2
IPv4,ip.cipso.doi,DOI,Unsigned integer (32 bits),2.0.0 to 4.2.2
IPv4,ip.cipso.malformed,Malformed CIPSO tag,Label,2.0.0 to 4.2.2
IPv4,ip.cipso.sensitivity_level,Sensitivity Level,Unsigned integer (8 bits),2.0.0 to 4.2.2
IPv4,ip.cipso.tag_data,Tag data,Byte sequence,2.0.0 to 4.2.2
IPv4,ip.cipso.tag_type,Tag Type,Unsigned integer (8 bits),2.0.0 to 4.2.2
IPv4,ip.cur_rt,Current Route,IPv4 address,1.8.0 to 4.2.2
IPv4,ip.cur_rt_host,Current Route Host,Character string,1.8.0 to 4.2.2
IPv4,ip.dsfield,Differentiated Services Field,Unsigned integer (8 bits),1.0.0 to 4.2.2
IPv4,ip.dsfield.dscp,Differentiated Services Codepoint,Unsigned integer (8 bits),1.0.0 to 4.2.2
IPv4,ip.dsfield.ecn,Explicit Congestion Notification,Unsigned integer (8 bits),1.6.0 to 4.2.2
IPv4,ip.dst,Destination Address,IPv4 address,1.0.0 to 4.2.2
IPv4,ip.dst_host,Destination Host,Character string,1.0.0 to 4.2.2
IPv4,ip.empty_rt,Empty Route,IPv4 address,1.8.0 to 4.2.2
IPv4,ip.empty_rt_host,Empty Route Host,Character string,1.8.0 to 4.2.2
IPv4,ip.evil_packet,Packet has evil intent,Label,1.12.0 to 4.2.2
IPv4,ip.flags,Flags,Unsigned integer (8 bits),1.0.0 to 4.2.2
IPv4,ip.flags.df,Don't fragment,Boolean,1.0.0 to 4.2.2
IPv4,ip.flags.mf,More fragments,Boolean,1.0.0 to 4.2.2
IPv4,ip.flags.rb,Reserved bit,Boolean,1.0.0 to 4.2.2
IPv4,ip.flags.sf,Security flag,Boolean,1.4.0 to 4.2.2
IPv4,ip.frag_offset,Fragment Offset,Unsigned integer (16 bits),1.0.0 to 4.2.2
IPv4,ip.fragment,IPv4 Fragment,Frame number,1.0.0 to 4.2.2
IPv4,ip.fragment.count,Fragment count,Unsigned integer (32 bits),1.6.0 to 4.2.2
IPv4,ip.fragment.error,Defragmentation error,Frame number,1.0.0 to 4.2.2
IPv4,ip.fragment.multipletails,Multiple tail fragments found,Boolean,1.0.0 to 4.2.2
IPv4,ip.fragment.overlap,Fragment overlap,Boolean,1.0.0 to 4.2.2
IPv4,ip.fragment.overlap.conflict,Conflicting data in fragment overlap,Boolean,1.0.0 to 4.2.2
IPv4,ip.fragment.toolongfragment,Fragment too long,Boolean,1.0.0 to 4.2.2
IPv4,ip.fragments,IPv4 Fragments,Byte sequence,1.0.0 to 4.2.2
IPv4,ip.geoip.asnum,Source or Destination GeoIP AS Number,Unsigned integer (32 bits),1.2.1 to 4.2.2
IPv4,ip.geoip.city,Source or Destination GeoIP City,Character string,1.2.1 to 4.2.2
IPv4,ip.geoip.country,Source or Destination GeoIP Country,Character string,1.2.1 to 4.2.2
IPv4,ip.geoip.country_iso,Source or Destination GeoIP ISO Two Letter Country Code,Character string,2.6.0 to 4.2.2
IPv4,ip.geoip.dst_asnum,Destination GeoIP AS Number,Unsigned integer (32 bits),1.2.1 to 4.2.2
IPv4,ip.geoip.dst_city,Destination GeoIP City,Character string,1.2.1 to 4.2.2
IPv4,ip.geoip.dst_country,Destination GeoIP Country,Character string,1.2.1 to 4.2.2
IPv4,ip.geoip.dst_country_iso,Destination GeoIP ISO Two Letter Country Code,Character string,2.6.0 to 4.2.2
IPv4,ip.geoip.dst_lat,Destination GeoIP Latitude,Floating point (double-precision),1.2.1 to 4.2.2
IPv4,ip.geoip.dst_lon,Destination GeoIP Longitude,Floating point (double-precision),1.2.1 to 4.2.2
IPv4,ip.geoip.dst_org,Destination GeoIP AS Organization,Character string,1.2.1 to 4.2.2
IPv4,ip.geoip.dst_summary,Destination GeoIP,Character string,2.6.0 to 4.2.2
IPv4,ip.geoip.lat,Source or Destination GeoIP Latitude,Floating point (double-precision),1.2.1 to 4.2.2
IPv4,ip.geoip.lon,Source or Destination GeoIP Longitude,Floating point (double-precision),1.2.1 to 4.2.2
IPv4,ip.geoip.org,Source or Destination GeoIP AS Organization,Character string,1.2.1 to 4.2.2
