,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,317,4,5,2,0,11,21,8,0,0,0,16,0,6,44,1,4,0,7,0,0,8,1,3,5
1,0,489,1,0,1,3,1,1,0,0,0,12,21,0,18,0,18,0,65,0,1,0,0,0,1
2,8,0,177,34,10,126,0,0,0,0,2,1,0,6,1,0,0,0,6,10,0,5,0,0,1
3,95,283,1,687,131,189,1224,2,0,13,133,37,789,63,75,28,571,8,563,0,27,50,26,16,331
4,140,5,17,228,666,593,20,15,0,3,0,44,1,72,105,38,53,1,36,14,2,86,1,1,2
5,211,10,19,307,640,1351,21,43,0,4,0,105,12,65,177,51,159,0,45,46,4,117,1,1,9
6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0
7,13,8,4,6,5,41,1,385,0,1,0,101,2,22,158,9,0,0,87,27,0,1,0,3,8
8,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,5,0,0,3,0,0,0,3,0,192,9,7,0,2,0,0,0,6,0,1,0,0,0,19,1
10,0,0,0,6,1,86,1,2,0,6,149,7,0,5,0,0,0,5,2,14,0,0,0,17,0
11,730,2,5,2,7,20,124,28,0,0,0,853,38,21,231,1,5,0,399,0,3,89,6,12,5
12,17,14,4,0,4,7,0,1,0,0,0,5,641,0,2,0,0,1,4,3,3,0,0,0,0
13,121,1,0,1,4,30,12,22,0,0,0,32,12,308,153,0,8,0,18,8,0,93,1,30,2
14,76,1,0,0,10,10,239,10,0,0,0,400,16,49,683,0,15,0,4,0,0,5,1,0,4
15,23,0,0,16,12,43,2,0,0,0,0,10,1,21,46,189,43,0,3,0,1,54,0,0,0
16,119,6,0,40,2,20,15,12,0,0,0,67,8,6,144,0,1658,0,3,12,21,130,11,0,2
17,0,0,0,1,0,1,0,1,0,4,3,0,0,0,0,0,0,28,0,4,0,0,0,7,0
18,60,15,32,18,24,133,4,3,1,0,0,33,11,3,35,34,85,0,3116,11,0,73,0,12,12
19,1,3,3,1,12,54,0,32,0,1,1,0,0,10,4,0,0,0,5,4439,0,0,0,103,0
20,0,8,0,335,111,54,0,10,0,0,0,2,43,1,0,0,20,0,2,10,476,0,1,12,0
21,124,0,2,2,2,12,7,1,0,0,0,20,0,6,84,12,3,0,2,0,0,390,6,0,0
22,5053,0,0,0,0,36,1,27,0,0,0,1348,13,10,1,0,0,0,24,7,0,6791,1482,2,7
23,0,3,0,14,10,2,0,14,0,12,11,0,0,0,20,0,0,3,0,0,0,0,0,369,0
24,30,0,0,0,11,16,1,9,0,0,0,9,1,13,9,1,11,0,3,0,0,10,42,0,1663
