,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,529,0,5,5,7,6,206,1,1,8,2,17,0,21,1,143,4,7,26,4,0
1,142,0,0,3,0,9,258,0,1,13,0,170,0,1,0,293,0,3,100,1,0
2,51,0,825,16,3,3,1,0,0,5,0,1,2,9,1,0,0,0,46,27,0
3,519,0,63,123,9,8,72,0,1,14,1,9,0,35,0,28,0,66,20,23,0
4,0,0,0,7,818,0,0,0,0,0,0,0,2,142,0,16,0,0,9,2,0
5,7,0,1,0,0,329,61,0,25,1,3,14,0,63,1,0,57,11,123,283,15
6,6,0,0,0,0,93,362,0,5,3,10,77,0,10,0,7,24,84,67,12,234
7,3,0,30,156,21,0,0,150,0,3,1,0,3,548,0,1,0,0,52,24,0
8,0,1,0,0,0,1,0,0,205,0,1,2,0,0,0,0,0,1,0,0,1
9,7,0,7,0,0,20,93,0,0,607,7,8,0,7,4,23,19,6,79,35,72
10,1,30,5,0,0,78,45,1,15,4,283,131,0,27,0,8,65,215,23,25,38
11,21,0,0,0,0,67,46,0,2,3,44,553,0,10,0,47,27,82,54,33,5
12,489,44,102,3,2,0,0,0,0,0,0,0,227,4,14,0,0,6,102,1,0
13,107,2,43,50,9,24,20,52,12,11,20,70,6,390,0,20,6,37,51,57,6
14,116,143,10,22,2,1,0,0,6,0,0,0,188,32,380,0,0,46,32,15,0
15,1,0,0,0,0,1,35,0,0,4,0,0,0,0,0,928,4,0,23,0,0
16,2,0,0,0,0,13,17,0,0,4,26,26,0,3,0,22,813,19,18,6,25
17,8,0,0,15,0,61,21,1,33,3,1,13,0,51,0,1,2,672,68,35,7
18,19,4,19,19,9,13,15,1,6,40,8,12,112,26,74,32,10,5,541,21,6
19,19,21,23,0,0,118,26,0,5,2,14,77,0,16,0,37,118,14,104,262,137
20,2,0,0,0,0,18,148,0,1,0,3,7,0,231,0,2,34,3,122,9,415
