,precision,recall,f1-score,support
Amazon Echo,0.3118556701030928,0.242,0.2725225225225225,1000.0
Awair air quality monitor,0.39015151515151514,0.206,0.2696335078534031,1000.0
Belkin Wemo switch,0.5936254980079682,0.745,0.6607538802660754,1000.0
Belkin wemo motion sensor,0.74,0.629,0.6799999999999999,1000.0
Dropcam,0.7249114521841794,0.614,0.6648619382782891,1000.0
HP Printer,0.009876543209876543,0.004,0.0056939501779359435,1000.0
Light Bulbs LiFX Smart Bulb,0.5873893805309734,0.531,0.5577731092436975,1000.0
MacBook,0.5580786026200873,0.639,0.5958041958041957,1000.0
NEST Protect smoke alarm,0.5604838709677419,0.5091575091575091,0.5335892514395393,273.0
Netatmo Welcome,0.3765432098765432,0.122,0.18429003021148035,1000.0
Netatmo weather station,0.7424412094064949,0.663,0.7004754358161649,1000.0
PIX-STAR Photo-frame,0.7537878787878788,0.398,0.5209424083769634,1000.0
Phillip Hue Lightbulb,0.47082018927444796,0.597,0.5264550264550264,1000.0
Samsung Galaxy Tab,0.3536764705882353,0.481,0.40762711864406787,1000.0
Samsung SmartCam,0.29784366576819404,0.442,0.35587761674718194,1000.0
Smart Things,0.683495145631068,0.352,0.4646864686468647,1000.0
TP-Link Day Night Cloud camera,0.432301153612629,0.712,0.5379675103891197,1000.0
TP-Link Smart plug,0.4728381374722838,0.853,0.608416547788873,1000.0
TPLink Router Bridge LAN,0.27530364372469635,0.476,0.34884573103700994,1000.0
Triby Speaker,0.09151193633952255,0.138,0.11004784688995217,1000.0
iHome,0.09803921568627451,0.025,0.0398406374501992,1000.0
accuracy,0.44433482957628373,0.44433482957628373,0.44433482957628373,0.44433482957628373
macro avg,0.4535702089973191,0.44657892900750035,0.43076689209707436,20273.0
weighted avg,0.449736231181875,0.44433482957628373,0.42707963045637143,20273.0
