bootst,criter,max_depth,max_features,min_samp_split,n_estimators,F1,Std,Time,No,Attack
False,entropy,31,7,9,182,0.9377461975321413,0.0004491255611264379,122.036,0,HPO
True,entropy,26,5,5,39,0.9370107342825598,0.0003961350949204129,61.71,1,HPO
False,gini,31,10,2,136,0.9387503472147767,0.00021656577614644282,92.819,2,HPO
False,entropy,28,1,2,18,0.9369577622797178,0.000628788462972042,45.918,3,HPO
True,entropy,19,3,5,25,0.9327039596826069,0.002185081290619035,49.519,4,HPO
False,entropy,28,10,8,199,0.9384120009230529,0.00011373290275312158,151.496,5,HPO
False,entropy,21,8,5,126,0.937996360473363,0.0002517604283169598,73.928,6,HPO
False,gini,28,9,7,194,0.9372681057471001,0.00040779668102557424,99.303,7,HPO
False,entropy,22,6,7,96,0.9372119086045044,0.0002531139308984875,79.559,8,HPO
True,entropy,32,8,6,170,0.9381144844270161,0.0003427507604690506,105.114,9,HPO
