algorithm,leaf_size,n_neighbors,weights,F1,Std,Time,No,Attack
kd_tree,33,35,distance,0.9266335456227864,1.1102230246251565e-16,30.798,0,HPO
brute,31,47,distance,0.9256911436548089,0.0,16.54,1,HPO
kd_tree,37,37,distance,0.9265681808446853,1.1102230246251565e-16,18.563,2,HPO
ball_tree,35,13,distance,0.9269023982345341,1.1102230246251565e-16,23.693,3,HPO
brute,12,57,distance,0.9246126890742239,0.0,23.559,4,HPO
ball_tree,30,27,distance,0.9265235180740831,1.1102230246251565e-16,29.159,5,HPO
ball_tree,32,7,distance,0.926688243857783,0.0,24.326,6,HPO
kd_tree,44,28,distance,0.9264762254991645,0.0,25.103,7,HPO
kd_tree,6,12,distance,0.9264520130111705,1.1102230246251565e-16,26.323,8,HPO
brute,39,33,distance,0.9265845080481976,0.0,17.039,9,HPO
