C,penalty,Solver,F1,Std,Time,No,Attack
0.006962362250475214,l1,liblinear,0.6369556561190357,0.004536736721383657,2651.999,0,HPO
0.10341982122760442,l1,liblinear,0.6552533572028427,0.0023643922205488915,2341.836,1,HPO
2.7512768589081085e-05,l1,liblinear,0.4803798377401624,0.001183596938924389,2053.374,2,HPO
0.001290498214174198,l2,newton-cg,0.46941075832799584,0.0,967.444,3,HPO
0.04893214489465096,l1,liblinear,0.6533890862478717,0.0037471935510522895,2477.679,4,HPO
0.19276059265583723,l2,liblinear,0.39043611747327284,0.0,162.061,5,HPO
46.60126846570764,l2,newton-cg,0.47034617201562573,0.0,1093.601,6,HPO
0.007224566292335165,l1,liblinear,0.6457487192534057,0.003977301323284599,2907.226,7,HPO
3.440307235750961,l1,liblinear,0.6480910626402326,0.001533625325984531,2269.581,8,HPO
0.00011687867345902958,l1,liblinear,0.5240103650672185,0.0007470898965963576,2951.539,9,HPO
