var_smoothing,F1,Std,Time,No,Attack
8.111308307896856e-09,0.32506260318293795,0.0,2.499,0,HPO
5.336699231206302e-08,0.3123541518257308,0.0,2.401,1,HPO
4.328761281083061e-09,0.32085316672374625,0.0,2.481,2,HPO
1e-09,0.3014226749707934,0.0,2.432,3,HPO
1.519911082952933e-09,0.30071199735680104,0.0,2.441,4,HPO
1.873817422860383e-08,0.3247123934337087,0.0,2.432,5,HPO
1.873817422860383e-08,0.3247123934337087,0.0,2.441,6,HPO
1.873817422860383e-08,0.3247123934337087,0.0,2.534,7,HPO
8.111308307896856e-09,0.32506260318293795,0.0,2.432,8,HPO
1.873817422860383e-08,0.3247123934337087,0.0,2.492,9,HPO
