bootst,criter,max_depth,max_features,min_samp_split,n_estimators,F1,Std,Time,No,Attack
False,gini,29,6,5,88,0.8758833693856752,0.004590754863960405,585.046,0,HPO
True,entropy,31,7,7,9,0.8707588924575393,0.0032818415117321616,371.589,1,HPO
True,entropy,19,6,9,149,0.8728493506309494,0.00013607457322442366,911.174,2,HPO
False,gini,31,10,9,67,0.8626653319256222,0.007782277736983228,456.913,3,HPO
True,gini,23,7,6,101,0.8720184688719064,0.0017793974525568074,159.105,4,HPO
True,gini,24,6,8,161,0.8735245746958364,0.0026263390709530703,94.647,5,HPO
False,entropy,16,6,9,141,0.8751810029417303,0.002444373985169022,212.651,6,HPO
True,entropy,20,9,9,193,0.8732656508241747,0.00033470361128395775,264.97,7,HPO
True,entropy,19,8,3,80,0.8747145765812563,0.0005171862527773495,118.757,8,HPO
False,entropy,22,2,6,12,0.8676399953420374,0.0023310098726885,96.197,9,HPO
