criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
entropy,10,25,9,0.7439073902518717,0.042578664500591196,11.032,0,HPO
entropy,32,31,6,0.7488637048421608,0.03761941239906501,15.143,1,HPO
entropy,28,7,9,0.8431827486805791,0.021297820600808117,4.828,2,HPO
entropy,25,1,2,0.8374802545475333,0.006532254439824418,2.909,3,HPO
entropy,23,12,8,0.8252361466534177,0.028883501014851,7.86,4,HPO
entropy,19,20,7,0.7920101105505724,0.034531271363689955,9.775,5,HPO
entropy,29,16,6,0.7859192463692594,0.03612545273253408,9.006,6,HPO
entropy,32,10,7,0.8295403799287216,0.012200099700073954,5.409,7,HPO
gini,28,9,8,0.8172795881956667,0.021947642232746666,4.395,8,HPO
entropy,24,13,9,0.8187807209611151,0.03235545187896304,7.846,9,HPO
entropy,20,6,6,0.8344879308132791,0.022294667244045104,4.989,10,HPO
entropy,13,5,6,0.8382335296903556,0.011105678216063175,4.003,11,HPO
entropy,21,5,7,0.8396589097810434,0.009574857084026946,5.473,12,HPO
entropy,24,10,4,0.8339481332358825,0.02166657094716895,4.704,13,HPO
entropy,32,7,2,0.8335517268878544,0.021899555967395942,4.341,14,HPO
entropy,30,1,3,0.8281316824579242,0.014261976314904832,3.767,15,HPO
gini,24,7,6,0.8269241168977814,0.02621365296741424,5.396,16,HPO
entropy,29,10,2,0.8260993158907904,0.02526263709333507,10.063,17,HPO
gini,24,11,6,0.812789774709463,0.03459378036245634,6.224,18,HPO
entropy,13,4,3,0.8292660300853516,0.018097210666392412,5.507,19,HPO
entropy,27,22,3,0.8145426764832905,0.03145104736669033,12.694,20,HPO
entropy,26,4,7,0.8337256194267717,0.01642322581999938,6.033,21,HPO
gini,30,3,5,0.8398934188593751,0.0053805908962643026,2.963,22,HPO
entropy,21,6,9,0.8326366753006855,0.01876148863090832,3.825,23,HPO
entropy,20,5,8,0.8409698133335631,0.014894158964312874,4.416,24,HPO
entropy,24,7,5,0.8272205855761989,0.011255842675303008,6.702,25,HPO
entropy,18,6,6,0.8451522573382443,0.011146834083826952,6.566,26,HPO
gini,24,6,8,0.8166179972163079,0.02836673567103643,3.98,27,HPO
gini,15,11,8,0.7839473655468706,0.015252068842861982,6.553,28,HPO
entropy,22,7,5,0.8389761701275014,0.015245015285412609,7.086,29,HPO
entropy,27,10,3,0.825444947067482,0.015079735220522165,8.429,30,HPO
entropy,14,2,9,0.8198945121361902,0.013813737022795277,10.338,31,HPO
entropy,18,4,8,0.8357555819716828,0.013774693302843826,13.84,32,HPO
entropy,23,27,7,0.7552214199376309,0.03799856039556479,31.398,33,HPO
entropy,23,11,3,0.8167522717787519,0.03133075481013124,43.771,34,HPO
entropy,16,10,9,0.8196607914066452,0.035257473784310156,71.501,35,HPO
gini,30,17,2,0.7849094905275439,0.0358195469107387,59.908,36,HPO
gini,30,4,2,0.8349722864632068,0.01683684382072267,42.608,37,HPO
entropy,25,4,8,0.8371591628083719,0.01367091927180357,62.701,38,HPO
entropy,14,15,9,0.7940506265767766,0.0374117451182691,104.262,39,HPO
entropy,13,29,2,0.755450115728111,0.041899598289985254,125.115,40,HPO
entropy,12,3,9,0.8052224527251356,0.025288482002298773,49.752,41,HPO
entropy,15,12,9,0.8255836335608373,0.016128747185462113,82.802,42,HPO
gini,28,7,5,0.8240501299531046,0.01610476772180902,40.463,43,HPO
gini,25,2,4,0.8301299972870287,0.017487312847857216,41.971,44,HPO
entropy,20,16,5,0.8020479786061744,0.031178029495240067,52.46,45,HPO
entropy,23,5,3,0.8394085926446762,0.0123474722152326,12.701,46,HPO
entropy,27,14,8,0.8105292903414757,0.031510752230407786,47.564,47,HPO
entropy,19,3,3,0.8362107202878312,0.00808010608823183,36.236,48,HPO
entropy,13,9,7,0.8266195569479182,0.03165303120487729,33.453,49,HPO
