bootst,criter,max_depth,max_features,min_samp_split,n_estimators,F1,Std,Time,No,Attack
True,entropy,21,2,6,36,0.9149278881673734,0.004083723811306709,64.564,0,HPO
False,entropy,30,6,5,106,0.9191049139082204,0.0016454728309666258,99.945,1,HPO
True,entropy,24,8,7,60,0.9176834142034067,0.0017437025864633646,72.581,2,HPO
True,gini,25,2,2,185,0.9211739194221638,0.000729877061287548,60.927,3,HPO
True,gini,18,7,5,7,0.9145250094768255,0.0036650753769217016,30.855,4,HPO
False,gini,22,2,7,130,0.9199228650331722,0.002008754176948801,71.869,5,HPO
False,gini,25,3,7,40,0.9118486314272026,0.007048103686848806,44.387,6,HPO
True,entropy,24,3,6,101,0.9196561730518296,0.0012273645805324076,56.857,7,HPO
False,entropy,17,3,5,71,0.9213562599952935,0.001491911666520342,56.915,8,HPO
False,entropy,12,6,2,109,0.9166249224745325,0.001021599306147293,130.468,9,HPO
