algorithm,leaf_size,n_neighbors,weights,F1,Std,Time,No,Attack
auto,29,9,distance,0.8350200946006332,0.0,27.714,0,HPO
kd_tree,39,5,distance,0.8392199623635348,1.1102230246251565e-16,28.665,1,HPO
kd_tree,4,8,distance,0.8368299531710477,0.0,40.143,2,HPO
brute,30,12,distance,0.8297742239945152,0.0,24.843,3,HPO
ball_tree,30,7,distance,0.8354548109145592,0.0,39.43,4,HPO
ball_tree,34,5,distance,0.8392199623635348,1.1102230246251565e-16,38.371,5,HPO
brute,44,7,distance,0.8376385224629355,0.0,26.058,6,HPO
auto,1,5,uniform,0.8320865945922813,0.0,24.481,7,HPO
kd_tree,29,11,distance,0.8304160978817599,0.0,34.781,8,HPO
auto,24,10,distance,0.8322492701058952,1.1102230246251565e-16,25.132,9,HPO
