C,penalty,Solver,F1,Std,Time,No,Attack
0.08092639509484462,l2,newton-cg,0.7667564369170888,0.0,1124.272,0,HPO
0.10891050275303762,l2,newton-cg,0.7657649626115836,0.0,1329.359,1,HPO
0.00010530940619981973,l2,lbfgs,0.46243297454739424,0.0,30.318,2,HPO
9.127984499609645e-05,l2,newton-cg,0.7558198328417488,0.0,1355.923,3,HPO
1.2584269851719395e-05,l2,newton-cg,0.7660431304960071,0.0,1305.275,4,HPO
0.40867202318934504,l2,newton-cg,0.7666252691850554,0.0,1704.805,5,HPO
4.8025158456994435,l2,liblinear,0.7296501724902984,0.0,253.894,6,HPO
0.26207185092344376,l2,newton-cg,0.7632406724944308,0.0,1305.793,7,HPO
4.407324403241168e-05,l2,newton-cg,0.7658567965217647,0.0,1170.044,8,HPO
80.89289397362145,l2,lbfgs,0.4629413987556899,0.0,33.227,9,HPO
