bootst,criter,max_depth,max_features,min_samp_split,n_estimators,F1,Std,Time,No,Attack
True,entropy,20,10,7,174,0.894669275502072,0.0017308717990538163,1437.348,0,HPO
True,gini,31,6,6,83,0.8896242520980697,0.005744496428646944,662.395,1,HPO
False,gini,20,8,10,156,0.8962774879756988,0.0012665777528399664,1169.901,2,HPO
False,gini,27,9,8,143,0.9045374781288841,0.0024318534757805815,1300.673,3,HPO
False,gini,28,5,3,182,0.9034999566812105,0.0009907176056709991,1019.553,4,HPO
True,gini,26,6,2,25,0.8887063083573361,0.0006334798933571023,279.678,5,HPO
True,gini,26,6,8,38,0.8822957142201819,0.005591833472274423,185.652,6,HPO
False,gini,21,5,3,108,0.9013142692891355,0.0010115010324500365,561.496,7,HPO
False,gini,28,6,3,90,0.9042244849869953,0.0017981050166791033,688.73,8,HPO
True,gini,32,3,4,100,0.8892144600716521,0.0008814320037800098,222.894,9,HPO
