criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
gini,22,27,3,0.9336761234492716,0.002480878064092594,1.67,0,HPO
entropy,9,23,5,0.9088450153577765,0.022121074624124104,1.574,1,HPO
entropy,26,21,9,0.9418669127656647,0.019056338141871392,1.507,2,HPO
entropy,19,18,6,0.9395038148982737,0.019033100218952867,1.44,3,HPO
entropy,14,11,5,0.9269065992194075,0.01630086965316042,1.314,4,HPO
gini,30,4,6,0.9271351460698114,0.0026511703729388577,0.955,5,HPO
entropy,30,16,6,0.9322820480252076,0.004260846301229046,1.234,6,HPO
entropy,20,11,8,0.929760009252659,0.0022339635506528977,1.167,7,HPO
gini,22,22,8,0.9302012535316095,0.0026634297517560282,1.313,8,HPO
entropy,14,19,6,0.9337359326949015,0.01830206017857236,1.457,9,HPO
gini,22,18,4,0.9285782670200324,0.0031341031542990046,1.243,10,HPO
entropy,27,24,7,0.9379682009661554,0.013687841439573972,1.61,11,HPO
entropy,27,20,9,0.9308794026666023,0.004355913345125977,1.41,12,HPO
gini,20,26,5,0.9314244798886199,0.0026462279568628595,1.48,13,HPO
entropy,22,19,2,0.9430225789885271,0.018170382502234843,1.365,14,HPO
entropy,24,17,4,0.9377012361978012,0.016138559345526677,1.385,15,HPO
entropy,30,20,5,0.9424068686058324,0.018417011888293318,1.445,16,HPO
entropy,30,23,4,0.9388236645531949,0.014044498885892084,1.488,17,HPO
gini,23,4,6,0.9288908445949048,0.015838309271051496,1.033,18,HPO
entropy,20,10,3,0.929686683231418,0.004106191016170524,1.127,19,HPO
gini,21,24,2,0.9333581881026438,0.003917120468785572,1.535,20,HPO
entropy,20,27,2,0.9363360155084113,0.0017974770027088184,1.667,21,HPO
entropy,23,12,9,0.9317763659925513,0.015224524240046219,1.487,22,HPO
entropy,17,22,8,0.9393211422943217,0.01758315398873658,1.996,23,HPO
entropy,27,20,3,0.9344553279606664,0.0028331558789095753,1.51,24,HPO
entropy,19,24,5,0.949974135960184,0.02321678547483958,1.776,25,HPO
entropy,20,24,7,0.9375076293303704,0.015058584540568168,2.364,26,HPO
entropy,21,21,2,0.9336594810197939,0.0033139640508019095,2.026,27,HPO
entropy,25,19,5,0.9327594875334692,0.0045197113018695554,2.043,28,HPO
entropy,31,26,8,0.9358571410236806,0.015313447889338713,2.03,29,HPO
entropy,15,20,4,0.9301812570770334,0.00325823078301579,1.888,30,HPO
gini,21,29,2,0.9353589555455966,0.0016674988486982435,2.178,31,HPO
entropy,23,24,9,0.9341403828023017,0.001916155195861221,1.509,32,HPO
gini,27,11,2,0.9307025120038122,0.004774949688316706,1.144,33,HPO
entropy,27,25,5,0.9398524345175387,0.013531224993347062,2.8,34,HPO
entropy,22,21,3,0.9387999544105187,0.01440260246836241,1.889,35,HPO
entropy,32,18,3,0.9380550274412606,0.014980559689650024,2.775,36,HPO
entropy,26,27,2,0.9367799605393381,0.0009332350374040878,4.25,37,HPO
entropy,23,16,6,0.9295242785831983,0.0036669953190830206,4.201,38,HPO
entropy,15,18,5,0.9372127576860827,0.019784588259632363,4.077,39,HPO
entropy,19,8,2,0.928417804396714,0.003999683971269725,3.75,40,HPO
entropy,30,29,2,0.9358866063449058,0.002592995268078366,5.46,41,HPO
gini,31,23,8,0.9335773938457388,0.001111282270055885,3.945,42,HPO
entropy,19,9,2,0.9295980490174728,0.004350610024419596,1.41,43,HPO
entropy,19,2,4,0.927143279327057,0.013766582337054988,1.635,44,HPO
gini,31,21,5,0.9312165145843432,0.005169746075234459,3.561,45,HPO
entropy,30,16,8,0.929288545225105,0.0024613776016251996,4.32,46,HPO
entropy,13,23,5,0.9276104830508197,0.00343352144513288,4.73,47,HPO
entropy,16,21,2,0.9349416590964648,0.012416646429220312,3.361,48,HPO
entropy,15,27,2,0.9422150681617589,0.01650655419570077,4.609,49,HPO
