Feature,Dataset,Folder,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ACK Flag Cnt,ADS2,CV,3.0,0.0,0.19831642349446316,0.05676410190175089,0.019105749343981522,0.05676410190175089,0.028568326156487578,0.03833447795754444,0.0,0.007924175262451141,0.00032119750976562
Active Max,ADS2,CV,3.0,0.0,0.35602463575158644,0.2745475706501347,0.5337521179202367,0.2745475706501347,0.3117171744694834,0.25281789246164,0.0,0.08012256622314448,0.0030483722686767203
Active Mean,ADS2,CV,2.5,0.0,0.33271636844830194,0.24388090769656004,0.4867574224494491,0.24388090769656004,0.2727590999301042,0.22623086309713,0.0,0.08662557601928708,0.003419816493988
Active Min,ADS2,CV,3.0,0.0,0.37222804796324704,0.2997605430695599,0.5867640041470413,0.2997605430695599,0.3426623441274176,0.2717456848632497,0.0,0.06486597061157222,0.00400042533874508
Active Std,ADS2,CV,3.0,0.0,0.23652906403966784,0.1274345747960975,0.2114368465026033,0.1274345747960975,0.12238623254598793,0.1011466115823925,0.0,0.054249143600463824,0.0036886692047119
Bwd Blk Rate Avg,ADS2,CV,3.0,0.0,0.16439587114770443,0.0476190476190476,0.00782837481655732,0.0476190476190476,0.01344615254569016,0.0,0.0,0.005673551559448179,0.0009969234466552601
Bwd Byts/b Avg,ADS2,CV,3.0,0.0,0.1645955217563718,0.0476190476190476,0.0078378819883986,0.0476190476190476,0.01346016357002302,0.0,0.0,0.0047535419464111,0.0009686470031738199
Bwd Header Len,ADS2,CV,3.0,0.0,0.5510471618246584,0.40367548753438454,0.5620903484752754,0.40367548753438454,0.4090070081646142,0.49998186250129695,0.0,0.025156068801879823,0.00412530899047846
Bwd IAT Max,ADS2,CV,3.0,0.0,0.4956829111972252,0.4963037678103893,0.6079947711419922,0.4963037678103893,0.5282724444210406,0.42869052770075433,0.0,0.20681428909301758,0.00458679199218744
Bwd IAT Mean,ADS2,CV,3.0,0.0,0.4871487885894076,0.4697439680828885,0.5741555241810484,0.4697439680828885,0.4986992143762419,0.4190199404659173,0.0,0.19111690521240235,0.00519094467163078
Bwd IAT Min,ADS2,CV,3.0,0.0,0.441799307109109,0.3488287430554773,0.4619242418720656,0.3488287430554773,0.3772153181535435,0.3650361782936081,0.0,0.1280596256256103,0.006650304794311499
Bwd IAT Std,ADS2,CV,3.0,0.0,0.43221696622537076,0.36324895020841286,0.601407661651094,0.36324895020841286,0.4113821522813888,0.34566359063604724,0.0,0.12711162567138665,0.00501389503478998
Bwd IAT Tot,ADS2,CV,3.0,0.0,0.49495108865884285,0.4721729373946773,0.5802209717536547,0.4721729373946773,0.5023695607366866,0.4280356739201375,0.0,0.1910347938537597,0.0050221443176269006
Bwd Pkt Len Max,ADS2,CV,3.0,0.0,0.7059106310309998,0.6390603780449812,0.8072419309840985,0.6390603780449812,0.6688070747096155,0.6690011601013219,0.0,0.041921949386596644,0.00385560989379876
Bwd Pkt Len Mean,ADS2,CV,3.0,0.0,0.741128922019963,0.695990783811739,0.8537031129053311,0.695990783811739,0.7422637600188245,0.7091109504947152,0.0,0.06828088760375972,0.0047394752502441
Bwd Pkt Len Min,ADS2,CV,3.0,0.0,0.47799899219945996,0.3371607851556952,0.6355011630032237,0.3371607851556952,0.35840623108730035,0.3983660177844479,0.0,0.012566375732421841,0.00211539268493652
Bwd Pkt Len Std,ADS2,CV,3.0,0.0,0.5277069972343946,0.552630313517293,0.8630265982078914,0.5472484445707316,0.6149888876078988,0.457439488115298,0.0,0.03289346694946286,0.00386543273925776
Bwd Pkts/b Avg,ADS2,CV,3.0,0.0,0.16439590158899814,0.0476190476190476,0.0078283762661427,0.0476190476190476,0.013446095953511861,0.0,0.0,0.00293350219726558,0.0019944667816162
Bwd Pkts/s,ADS2,CV,3.0,0.0,0.6000732348342547,0.5614269540120725,0.5644097529843634,0.5614269540120725,0.5617532932624749,0.5575072617129117,0.0,0.2518977642059326,0.00831418037414548
Bwd PSH Flags,ADS2,CV,3.0,0.0,0.19018153015183156,0.054436804506174566,0.017127690751223064,0.054436804506174566,0.02389064052781608,0.02857638770961804,0.0,0.00517501831054684,0.0030547142028808203
Bwd Seg Size Avg,ADS2,CV,3.0,0.0,0.7417777228481544,0.6906188108717187,0.8455552919481347,0.6906188108717187,0.7362011495524058,0.7098139552630656,0.0,0.06358590126037593,0.0019814014434814003
