bootst,criter,max_depth,max_features,min_samp_split,n_estimators,F1,Std,Time,No,Attack
False,gini,25,9,2,192,0.9589893805076717,0.00041866298809914025,110.863,0,HPO
False,gini,28,6,5,161,0.9583304631090227,0.0003389142508408683,60.797,1,HPO
False,gini,20,9,4,176,0.9595189088501979,0.00047634960339230914,85.04,2,HPO
False,entropy,21,9,7,168,0.9597288417300842,0.00020088997315864164,119.063,3,HPO
False,entropy,30,9,8,125,0.9594784978916693,0.0008421765424960473,100.019,4,HPO
False,gini,25,8,2,160,0.958616695597582,0.0004327318029286484,72.14,5,HPO
True,entropy,32,7,3,36,0.956349715989137,0.0010799480234334367,37.126,6,HPO
False,gini,17,7,3,122,0.9570506017548466,0.0003316017399505871,76.899,7,HPO
True,entropy,16,10,9,182,0.9574750045746894,0.0003993988387015841,253.357,8,HPO
False,entropy,32,8,10,178,0.9596959190966657,0.00025797539727232156,288.909,9,HPO
