,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,884,0,0,0,6,6,210,173,0,0,0,0,0,101,404,0,7,0,1,1,0,0,0,0,0
1,0,8293,0,0,2,2,2,0,0,0,0,0,10,0,1,0,0,0,0,0,73,0,0,0,0
2,0,0,204,2,9,1,0,0,0,0,0,0,0,0,2,0,102,0,7,2,3,0,0,0,1
3,9,0,1,517,957,517,990,3,0,0,0,5,0,0,10,0,13,0,101,1,3,0,0,0,14
4,49,0,1,266,997,790,389,53,0,0,0,1,0,0,32,0,9,0,138,3,9,2,0,0,1
5,33,0,7,225,2038,2860,685,58,0,0,0,4,0,1,76,0,10,0,135,212,5,0,156,0,5
6,4,0,4,18,133,196,667,0,0,0,0,1,0,2,2,0,2,0,0,3,3,0,9,0,0
7,1,0,0,30,26,20,6,1700,0,0,0,14,0,2,88,0,20,0,0,0,2,0,8,0,0
8,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,46,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0
10,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,2,0,0,4,0,0,0,0
11,2,4,0,0,8,0,3,120,0,0,0,2230,0,4,46,0,97,0,1,9,35,0,0,0,0
12,0,716,0,0,0,0,0,0,0,0,0,0,81313,0,0,0,0,0,0,0,13,0,0,0,1
13,1,1,1,0,5,15,10,2,0,0,0,0,0,470,58,0,6,0,2,0,0,0,13,0,0
14,320,1,0,0,3,2,2,6,0,0,0,5,3,598,1748,0,13,0,4,0,4,1,0,0,0
15,0,0,0,0,22,4,3,0,0,0,0,1,0,0,1,134,7,0,0,143,0,21,0,0,0
16,4,0,1,0,65,20,10,6,0,0,0,9,1,2,47,0,1938,0,17,0,1,0,2,0,0
17,0,184,0,0,0,0,0,0,0,0,1,0,34,0,0,0,0,1360,0,0,3,0,0,0,0
18,0,0,2,6,8,23,5,0,0,0,0,6,0,0,4,0,12,0,7074,4,1,0,2,0,0
19,0,0,7,0,7,22,0,0,0,0,0,0,0,0,0,0,0,0,1,3130,82,0,2,0,0
20,13,0,0,0,0,0,0,0,0,0,0,14,0,1,1,10,0,0,1,0,1415,1,0,0,0
21,0,0,1,0,0,0,0,0,0,0,0,0,0,4,6,0,4,0,2,0,6,572,0,0,0
22,0,0,4,0,0,1,3,10,0,0,0,2,0,0,10,0,1,0,1,0,0,2,76149,0,4052
23,6,190,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,4,0,0,425,0
24,0,0,22,180,1121,19,144,2,0,0,0,587,0,0,3,0,2,0,5,0,4,5,11711,0,12319
