var_smoothing,F1,Std,Time,No,Attack
4.328761281083053e-06,0.3874752758805411,0.0,3.396,0,HPO
3.5111917342151275e-06,0.3875502804049128,0.0,2.917,1,HPO
2.310129700083158e-06,0.39094540825866264,0.0,3.319,2,HPO
3.5111917342151277e-07,0.3871693785687233,0.0,3.322,3,HPO
4.328761281083053e-06,0.3874752758805411,0.0,3.352,4,HPO
2.848035868435799e-06,0.389812552846933,0.0,3.488,5,HPO
1.232846739442066e-07,0.38686968950395245,0.0,3.65,6,HPO
2.310129700083158e-06,0.39094540825866264,0.0,4.061,7,HPO
5.336699231206302e-08,0.3849930303098723,0.0,3.966,8,HPO
2.848035868435799e-06,0.389812552846933,0.0,3.449,9,HPO
